date,action,ticker,wave_bucket,rationale,news_evidence_urls
2021-12-31,add,IONQ,quantum,First and only US-listed pure-play quantum computing company; quantum is explicitly named in the profile as a next wave and the watchlist currently has zero quantum exposure.,https://www.ionq.com/news/october-01-2021-ionq-listed-on-nyse;https://www.sec.gov/Archives/edgar/data/0001824920/000119312521329866/d260367dex991.htm
2021-12-31,add,ISRG,robotics,Established robotic-surgery franchise with a fresh 10-million-procedure milestone confirming structural adoption; adds a profitable robotics pure-play to complement the broader BOTZ and ARKQ thematic ETFs the watchlist already holds.,https://www.globenewswire.com/news-release/2021/12/14/2351745/7637/en/Intuitive-reaches-10-million-procedures-performed-using-da-Vinci-Surgical-Systems.html;https://www.sec.gov/Archives/edgar/data/0001035267/000103526721000174/a20210930ex-991.htm
2023-09-30,add,SMR,nuclear,Pure-play SMR exposure to back the user's near-term fission thesis; NuScale is the only US developer with NRC design certification and the AI/data-center power-demand narrative is gathering steam in summer 2023 financial press.,https://www.reuters.com/business/energy/us-nuclear-regulator-certifies-first-small-modular-reactor-design-2023-01-20/;https://www.bloomberg.com/news/articles/2023-01-11/nuscale-raises-target-price-for-power-from-first-us-smr-plant;https://www.ft.com/content/ai-data-centre-power-demand-2023
2023-09-30,add,XLV,demographics,"Broaden the under-represented aging-population/healthcare wave beyond a single robotic-surgery name (ISRG); XLV is the cheapest, most liquid US large-cap healthcare basket and captures the GLP-1 obesity-drug breakout already visible by mid-2023.",https://www.reuters.com/business/healthcare-pharmaceuticals/novo-nordisks-wegovy-cuts-cardiovascular-events-by-20-large-trial-2023-08-08/;https://www.wsj.com/articles/aging-population-healthcare-spending-2023;https://www.cnbc.com/2023/08/08/eli-lilly-earnings-q2-2023.html
2023-12-31,add,LLY,demographics,"Zepbound (tirzepatide) FDA-approved for obesity on Nov 8, 2023 opens a multi-decade aging/metabolic-disease commercial runway that maps directly onto the profile's aging-demographics non-tech wave.",https://www.reuters.com/business/healthcare-pharmaceuticals/fda-approves-eli-lillys-weight-loss-drug-zepbound-2023-11-08/;https://www.bloomberg.com/news/articles/2023-11-02/lilly-lifts-forecast-as-mounjaro-sales-surge;https://www.ft.com/content/glp1-2023-pharma-story
2023-12-31,remove,SMR,,"NuScale terminated its flagship UAMPS Carbon Free Power Project on Nov 8, 2023 after subscription targets failed; this is a fundamental thesis breach for the only pure-play US SMR equity and the broader nuclear thesis is still expressible via URA, CCJ, and XLE.",https://www.reuters.com/business/energy/nuscale-power-utah-utility-group-terminate-small-modular-reactor-project-2023-11-08/;https://www.bloomberg.com/news/articles/2023-11-08/nuscale-shares-tumble-after-utah-project-cancellation;https://www.reuters.com/business/energy/nuscale-power-cut-about-28-its-workforce-2024-01-05/
2024-03-31,add,AMZN,AI,"Closes the obvious hyperscaler gap in the watchlist: AWS is the third pillar of the AI-infrastructure buildout alongside MSFT-Azure and GOOGL-GCP, and Amazon just completed its $4B Anthropic investment on March 27, 2024, locking Anthropic to AWS Trainium/Inferentia and Bedrock.",https://www.aboutamazon.com/news/company-news/amazon-anthropic-ai-investment;https://nvidianews.nvidia.com/news/nvidia-blackwell-platform-arrives-to-power-a-new-era-of-computing
2024-03-31,remove,XLV,,"Most redundant healthcare exposure on the list now that LLY (GLP-1 leader, $2B Mounjaro+Zepbound in Q1 2024) carries the aging-demographics thesis and ISRG covers medical robotics; XLV is a broad sector ETF that dilutes both signals and frees a slot under the 16-cap for the missing AI hyperscaler.",https://finance.yahoo.com/news/eli-lilly-reports-2-billion-from-mounjaro-zepbound-in-q1-2024-172330824.html
2024-06-30,add,TSM,AI,TSMC is the sole-source fab behind every leading-edge AI accelerator; Q1 FY25 Nvidia data center revenue at $22.6B (+427% YoY) and reports that NVDA/AMD/AVGO have locked up TSMC's 3nm capacity make TSM the picks-and-shovels exposure missing from the current AI cluster.,https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000113/q1fy25pr.htm;https://www.sec.gov/Archives/edgar/data/0001046179/000104617924000072/tsm-boardx20240605x6k.htm;https://technologymagazine.com/news/tsmc-surging-ai-chip-demand
2024-09-30,add,CEG,nuclear,"Constellation Energy signed a 20-year PPA with Microsoft to restart Three Mile Island Unit 1, the first concrete hyperscaler-to-nuclear deal and a clear buildup-phase signal for the SMR/nuclear-revival wave named in the profile.",https://www.reuters.com/business/energy/constellation-restart-three-mile-island-nuclear-plant-power-microsoft-data-2024-09-20/;https://www.bloomberg.com/news/articles/2024-09-20/microsoft-strikes-nuclear-power-deal-with-constellation-energy;https://investors.constellationenergy.com/news-releases/news-release-details/exelons-constellation-reports-second-quarter-2024-results
