date,action,ticker,wave_bucket,rationale,news_evidence_urls
2021-03-31,add,ARKQ,robotics,"Watchlist is saturated with AI mega-caps (AAPL/MSFT/GOOGL/NVDA) plus broad-market SPY, with zero exposure to the profile's explicit next waves (robotics, rockets/spacecraft, nuclear). ARKQ (ARK Autonomous Technology & Robotics ETF) is the most direct, liquid way to advance the 'invest early in next waves while cheap' rule. Holdings span industrial robotics, autonomous vehicles, 3D printing, and space/aerospace names — covering two of the profile's next-wave buckets in one ticker. ADV well above the $5M liquidity floor.",https://www.bloomberg.com/news/articles/2021-02-19/cathie-wood-s-ark-funds-keep-luring-cash-despite-recent-pullback;https://www.reuters.com/article/us-autos-semiconductors/global-chip-shortage-puts-the-brake-on-auto-recovery-idUSKBN2AS0L4
2021-03-31,remove,SPY,,"SPY's largest weights at this date are AAPL, MSFT, AMZN, FB, GOOGL, NVDA — the watchlist already holds the top mega-caps directly, so SPY is the most redundant slot. Removing it frees a slot for thematic next-wave exposure that the rest of the watchlist cannot provide. The optimizer can still allocate AAPL/MSFT/GOOGL/NVDA directly.",https://www.wsj.com/articles/global-stocks-markets-dow-update-03-31-2021-11617178107
2021-06-30,remove,ARKQ,,"Make room for ARKX while staying at cap=5. ARKQ's robotics/autonomy exposure overlaps heavily with the four AI mega-caps already held (NVDA/MSFT/GOOGL/AAPL all sit inside the autonomy supply chain), so removing it is the lowest-conviction trim. The freed slot funds a missing wave (rockets/spacecraft) rather than doubling-up on AI-adjacent autonomy.",
2021-09-30,add,URA,nuclear,"Pure-play uranium/nuclear-fuel ETF (Global X, US-listed, liquid). The thesis names nuclear (SMRs + AI data-center PPAs) as a target next wave and the watchlist currently has zero nuclear exposure. Uranium just printed its strongest rally in years on tight supply (Kazatomprom holding 2022-2023 production flat, Cameco cutting McArthur River guidance) plus Sprott's new physical trust absorbing spot supply — a structural-deficit setup, not a meme spike. URA captures the miners and converters that benefit before any SMR developer is investable in public markets.",https://www.etf.com/sections/features-and-news/uranium-etfs-explode;https://www.fool.com/investing/2021/09/03/why-shares-of-uranium-miner-cameco-rocketed-24-thi/
2021-09-30,add,RKLB,rockets_spacecraft,"Pure-play small-launch and space-systems company; began trading on Nasdaq via Vector SPAC merger on Aug 25, 2021 (pre-as-of-date, eligible). The profile calls out rockets as a next wave and the only current rocket exposure is ARKX, whose largest holdings are GPS/construction-machinery names (Trimble, Komatsu) rather than launch providers. RKLB is the cleanest investable proxy for the launch-cadence thesis in late 2021 — Electron is the second-most-frequently-launched US rocket and Neutron has just been announced.",https://www.cnbc.com/2021/08/25/rocket-lab-begins-trading-on-nasdaq-as-rklb-after-spac-merger.html
2021-09-30,add,BOTZ,robotics,"Robotics & AI ETF (Global X, US-listed, liquid). Profile lists robotics as a next wave and the watchlist has no robotics-specific exposure. BOTZ's largest names beyond NVDA are industrial-automation pure-plays (Keyence, Fanuc, Mitsubishi Electric, ABB) that capture the falling-cost-of-industrial-robots trend at a portfolio level — cleaner than picking one Japanese ADR. NVDA overlap is acceptable: BOTZ adds the industrial-automation tail behind the AI-compute leader I already hold.",https://www.globalxetfs.com/funds/botz
2021-09-30,remove,GOOGL,,"Trimming one AI mega-cap to fund a nuclear slot. With cap=5 and four AI names (AAPL/MSFT/GOOGL/NVDA) crowding the book, GOOGL is the least levered to the specific wave-thesis catalysts (cloud-AI infra, AI compute, on-device AI); MSFT (Azure + early OpenAI partnership) and NVDA (training silicon) carry the AI thesis more directly. Consistent with the profile's 'ride AI wave, trim before crest' guidance — not exiting AI, just concentrating it.",
2021-09-30,remove,AAPL,,"Trimming a second AI mega-cap to fund the robotics slot. AAPL is consumer-electronics-heavy and the least exposed to data-center AI compute, cloud AI services, and industrial automation. Keeping MSFT (cloud AI, productivity AI) and NVDA (the picks-and-shovels AI compute leader) preserves the AI-wave conviction while opening room for the rockets/robotics/nuclear early bets the profile explicitly calls for.",
2021-12-31,add,IONQ,quantum,"Profile names quantum as a target next wave and the watchlist has zero quantum exposure. IonQ became the first publicly traded, pure-play quantum computing company on Oct 1, 2021 (pre-as-of-date, eligible) via the dMY Technology Group III SPAC merger, raising $636M to fund commercialization of trapped-ion quantum systems. Three months of trading history make it US-listed and liquid. No competing pure-play exists in Q4 2021 (Rigetti/IBM-quantum/Honeywell-Quantinuum either pre-merger or buried inside conglomerates), and QTUM is a thematic ETF that dilutes pure-play exposure. This is the cleanest investable proxy for the quantum thesis the profile explicitly calls out.",https://www.ionq.com/news/october-01-2021-ionq-listed-on-nyse;https://investorplace.com/2021/10/ionq-is-the-first-publicly-traded-quantum-computing-firm/
2021-12-31,remove,BOTZ,,"Replaced by IONQ to open a quantum slot at the cap=5 ceiling. BOTZ is the lowest-conviction holding for two reasons: (1) the robotics wave is already partially captured by NVDA (which sits in BOTZ's top holdings and supplies the GPUs/Jetson modules underlying most modern autonomy stacks), so BOTZ overlap with NVDA is real; (2) BOTZ's industrial-automation tail (Keyence, Fanuc, Mitsubishi Electric) is mostly Japanese ADRs trading on a slower, deeper-cycle dynamic than the AI/quantum/space/nuclear catalysts the profile is built around. Trading a partially-redundant diversified ETF for the first liquid pure-play in a profile-named next wave is the higher-leverage move. Net effect: watchlist still has four next-wave bets (RKLB rockets, URA nuclear, IONQ quantum, plus NVDA covering robotics-via-AI-compute) and two AI anchors (MSFT, NVDA).",
