date,action,ticker,wave_bucket,rationale,news_evidence_urls
2021-03-31,add,ARKX,rockets_spacecraft,"ARK Space Exploration & Innovation ETF launched March 30, 2021 (one day before as-of date) as a thematic vehicle for reusable rockets, satellites, drones, and orbital/sub-orbital aerospace exposure. With SpaceX still private and pure-play space names scarce, ARKX is the cleanest liquid public entry point for the rockets-and-spacecraft next wave the profile calls out. Debut day saw ~$294M traded (8th-best ETF debut on record), so liquidity is adequate.",
2021-03-31,add,TSM,AI,"Taiwan Semiconductor announced a record 2021 capex plan of $25-28B (up 45-62% YoY) on January 14, 2021, explicitly to expand leading-edge 5nm/3nm capacity for AI and HPC customers. TSMC is the sole-source foundry for Nvidia, AMD, and Apple silicon — every AI training and inference workload routes through its fabs. Q1 2021 reporting also showed industry-wide capacity exceeding demand, which is bullish for the foundry monopolist. Adds an AI-wave exposure that is upstream of NVDA (already in watchlist) and harder to disrupt.",
2021-03-31,add,ISRG,robotics,"Intuitive Surgical is the dominant surgical-robotics franchise (da Vinci installed base ~5,989 systems at end-2020, recurring instruments/services revenue). Profile calls out robotics as a next wave and aging-population demographics as a non-tech wave — ISRG sits at the intersection. Q4 2020 earnings (released Jan 2021) showed procedure volumes recovering from COVID disruption. Provides liquid US-listed robotics exposure without taking on the operating risk of speculative humanoid or industrial-automation names that mostly aren't public yet.",
2021-06-30,remove,SPY,,Broad-market index largely duplicates exposure already held via AAPL/MSFT/GOOGL/NVDA (top SPY weights). Profile prioritizes early-wave concentration over benchmark hugging; freeing the slot creates room for nuclear-wave entry.,
2021-06-30,remove,TSM,,"Heavy AI-semi overlap with NVDA on the same chip-shortage / TSMC-capex tailwind, plus Taiwan single-country concentration risk that is not the geopolitical exposure the profile is trying to express. Trimming TSM keeps the AI wave covered via NVDA and frees a slot for a defense/geopolitical add.",
2021-09-30,remove,ARKX,,"Diluted space-thesis vehicle: top holdings are split across defense primes, aerospace incumbents, and tangential infrastructure rather than pure-play launch/spacecraft names. Replacing with RKLB gives a cleaner read on the rockets next-wave bet without changing the slot's wave bucket.",
2021-12-31,add,IONQ,quantum,"Pure-play trapped-ion quantum computing operator; only US-listed quantum pure-play available at this date. IPO'd via SPAC on NYSE October 2021 (listing date 2021-10-01 — pre-as-of, eligible), raised $636M. Fits the profile's named 'quantum' next-wave bucket where the universe of investable pure-plays is otherwise empty. Profile guidance is to invest early in next waves; quantum is pre-commercial today, so this is a small-position high-asymmetry slot, not a core allocation. Replaces AAPL to stay at cap.",https://en.wikipedia.org/wiki/IonQ
2021-12-31,remove,AAPL,,"Trim to make room for a quantum pure-play (IONQ). Among the four AI-megacap names in the watchlist (AAPL, MSFT, GOOGL, NVDA), AAPL has the least direct exposure to the generative-AI / accelerated-compute build-out: MSFT carries Azure and enterprise AI distribution, GOOGL carries TPU/search/cloud, NVDA is the accelerator monopoly. AAPL is a mature consumer-hardware franchise — profile guidance 'ride AI wave, trim before crest' applies most cleanly to the megacap with the least incremental AI upside per dollar. Note: not a thesis-negative call on AAPL, just the lowest-marginal-AI name in a capped basket.",
2022-06-30,add,LLY,demographics,"Eli Lilly fills the profile's named non-tech next wave (demographics / chronic-disease of aging populations) which the cap-8 basket currently does not cover. Mounjaro (tirzepatide) received FDA approval on 2022-05-13 for type-2 diabetes with a strong weight-loss readout already in the SURPASS trial program, opening a multi-decade obesity/metabolic franchise tied to aging demographics in the US, EU, and Japan. LLY is a large-cap US-listed liquid name with multi-decade trading history. Not engineered biology — tirzepatide is a peptide GLP-1/GIP dual agonist, classical pharma chemistry, not cell or genome engineering.",https://www.fda.gov/news-events/press-announcements/fda-approves-novel-dual-targeted-treatment-type-2-diabetes;https://investor.lilly.com/news-releases/news-release-details/lilly-reports-strong-first-quarter-2022-financial-results-and
2023-09-30,add,XLE,geopolitical,"Fills the geopolitical-energy gap the profile names explicitly (Russia-Ukraine driving oil/gas/LNG); Saudi+Russia extending voluntary production cuts pushed WTI to ~$90 and XLE to a Sept-2023 peak of ~$92.95, a multi-quarter structural setup the current watchlist has zero exposure to.",https://www.cnn.com/2023/08/03/energy/oil-production-cut-saudi-arabia/index.html;https://www.nasdaq.com/articles/energy-etfs-in-focus-as-saudi-likely-to-prolong-output-cuts
2023-12-31,add,ARKX,rockets_spacecraft,"Re-fills the rockets/spacecraft gap that opened in Q3 when RKLB was removed after the Sept 19 Electron failure; SpaceX's two 2023 Starship integrated test flights (April 20 IFT-1, Nov 18 IFT-2) plus a growing commercial-launch backlog mark a clean buildup phase for the wave the profile explicitly names, and an ETF wrapper diversifies single-vehicle/launch-failure risk that single-stock RKLB carried.",https://www.npr.org/2023/04/16/1169734535/spacex-prepares-to-launch-its-mammoth-rocket-starship;https://spacenews.com/spacex-launches-second-starship-integrated-flight-test/;https://interactive.satellitetoday.com/via/september-2023/prepare-for-a-space-economy-that-can-leverage-spacexs-starship
2023-12-31,remove,IONQ,,"Pure-play quantum-computing equities remain pre-revenue speculation at year-end 2023 with fault-tolerant quantum advantage still many years out; IONQ specifically saw execution wobble in 2023 (the company replaced its CEO in May 2023 and the stock has been volatile on a still-untested commercial roadmap), so the quantum slot in a tight 8-cap watchlist is better redeployed into a wave with concrete 2023 milestones (rockets/spacecraft). Quantum exposure can be revisited when fault-tolerance milestones or a broader quantum-themed ETF make the wave less single-name speculative.",https://www.reuters.com/technology/ionq-names-new-ceo-co-founder-chapman-steps-down-2023-05-04/;https://www.technologyreview.com/2023/01/06/1066317/whats-next-for-quantum-computing/
2024-03-31,add,BOTZ,robotics,"Adds dedicated robotics exposure to a watchlist whose only robotics name is medical-only (ISRG); NVIDIA's GR00T humanoid-foundation-model launch at GTC (Mar 18, 2024) is a credible buildup-phase catalyst for the broader humanoid/industrial robotics wave the profile names explicitly.",https://nvidianews.nvidia.com/news/foundation-model-isaac-robotics-platform;https://www.roboglobaletfs.com/posts/robo-index-1q24-commentary;https://spectrum.ieee.org/nvidia-gr00t-ros
2024-03-31,remove,GOOGL,,"Pairs the BOTZ add to keep |watchlist|=8; thesis breach signal — Gemini image-generation rollout was paused mid-quarter after a public backlash, ~$70-96B of market cap was shed in days, and Alphabet now visibly trails MSFT/OpenAI on consumer-AI execution while MSFT and NVDA remain in the watchlist to carry the AI buildup wave.",https://www.cnn.com/2024/02/22/tech/google-gemini-ai-image-generator;https://www.foxbusiness.com/media/google-parent-company-value-plummets-losing-70-billion-after-gemini-ai-scandal;https://fortune.com/2024/03/04/sergey-brin-google-definitely-messed-up-gemini-image-generation/
2024-06-30,add,QTUM,quantum,"Fills the watchlist's most glaring thesis gap — quantum computing — via a diversified ETF basket (IBM, GOOGL, HON, IONQ, RGTI) as quantum hardware milestones (IBM Heron 133-qubit processor, Google's below-threshold error-correction result) start to look like a real buildup phase.",https://newsroom.ibm.com/2023-12-04-IBM-Debuts-Next-Generation-Quantum-Processor-IBM-Quantum-System-Two;https://research.google/blog/making-quantum-error-correction-work/;https://www.etf.com/QTUM
2024-06-30,remove,XLE,,"Integrated-oil-heavy energy ETF (XOM/CVX ~40%) is a noisy expression of the user's geopolitical-energy thesis, which is really about LNG and Russia-Ukraine flows; crude has rolled over from April highs and the diversified-majors basket is not where the thesis edge lives.",https://www.reuters.com/business/energy/oil-prices-edge-down-demand-concerns-2024-06-28/;https://www.bloomberg.com/news/articles/2024-06-25/energy-stocks-lag-sp-500-q2
2024-09-30,add,NLR,nuclear,"Hyperscaler-nuclear PPAs are the clearest near-term commercial signal for the user's nuclear-SMR thesis this quarter; NLR's mix of uranium miners plus nuclear utilities (Constellation, Vistra, PG&E, Public Service) captures the utility leg that URA (pure miners) misses.",https://www.reuters.com/business/energy/constellation-restart-three-mile-island-nuclear-plant-microsoft-ai-deal-2024-09-20/;https://www.bloomberg.com/news/articles/2024-09-20/constellation-microsoft-nuclear-deal;https://www.wsj.com/business/energy-oil/nuclear-stocks-ai-power-demand-2024-09-25;https://www.etf.com/NLR
2024-12-31,add,LNG,geopolitical,"Pure-play US LNG exporter Cheniere brought its Corpus Christi Stage 3 expansion online in December 2024, adding capacity right as Europe's reliance on US LNG deepened with the Ukraine-Russia gas transit agreement set to expire Jan 1, 2025 - filling the geopolitical-energy bucket the profile names but the watchlist currently does not cover.",https://oilprice.com/Latest-Energy-News/World-News/US-LNG-Exports-Surged-at-the-End-of-2024.html;https://www.nasdaq.com/articles/natural-gas-jumps-44-2024-will-it-climb-further-2025
2024-12-31,remove,ARKX,,"ARKX is a diluted rockets/spacecraft vehicle (top holdings include Trimble, Iridium, Kratos - more aero/comms than pure launch); we trim it now to make cap room for a higher-conviction geopolitical-energy add and can re-express rockets exposure via a pure-play (e.g., RKLB) in a later quarter when warranted.",https://www.nasdaq.com/articles/better-space-stock-ast-spacemobile-asts-vs-rocket-lab-rklb
